Name,Price,Image-link,Links
HP i3 (8/256ssd) 15s-fq5000nia 12th Gen,"5,700.00",https://frankotrading.com/wp-content/uploads/2023/05/fq5000-300x300.jpg,https://frankotrading.com/product/hp-i3-4-256ssd-15s-fq5000nia-12th-gen/
HP Cel (4/256ssd) 15-DW1495Nia (N4120),"3,750.00",https://frankotrading.com/wp-content/uploads/2023/05/1495-1-300x300.jpg,https://frankotrading.com/product/hp-cel-4-256ssd-15-dw1495nia-n4120/
Hp i7 (8/512ssd)15s-fq5234Nia Touchscreen,"10,700.00",https://frankotrading.com/wp-content/uploads/2023/05/5234-300x300.jpg,https://frankotrading.com/product/hp-i7-8-512ssd15s-fq5234nia-touchscreen/
Hp i5 pavilion (8/512ssd) 14-ek0033dx x360,"9,700.00",https://frankotrading.com/wp-content/uploads/2023/05/ek0033-2-300x300.jpg,https://frankotrading.com/product/hp-i5-pavilion-12-512ssd-14-ek0033dx-x360/
Hp i5 (8/512ssd) 15-dy2703dx Touchscreen,"8,300.00",https://frankotrading.com/wp-content/uploads/2023/05/2703-1-300x300.jpg,https://frankotrading.com/product/hp-i5-8-512ssd-i5-dy2703dx-touchscreen/
Lenovo i3 ideapad flex 5 (8/512ssd) 14iau7 x360,"10,500.00",https://frankotrading.com/wp-content/uploads/2023/03/Lenovo-3-300x300.jpg,https://frankotrading.com/product/lenovo-i3-ideapad-flex-5-8-512ssd-14iau7-x360/
HP i3 (8/256ssd) 250 G8 15.6”,"6,100.00",https://frankotrading.com/wp-content/uploads/2023/03/250-g8-a-300x300.jpg,https://frankotrading.com/product/hp-i3-8-256ssd-250-g8/
Hp desktop i5 (4/1tb) 290 g4 10400,"8,300.00",https://frankotrading.com/wp-content/uploads/2023/03/10700-2-300x300.jpg,https://frankotrading.com/product/hp-desktop-i5-4-1tb-290-g4-10400-2/
Hp desktop i7 (4/1tb) 290 g4 10700,"9,500.00",https://frankotrading.com/wp-content/uploads/2023/03/10700-2-300x300.jpg,https://frankotrading.com/product/hp-desktop-i7-4-1tb0-290-g4-10700/
Hp desktop i3 (4/1tb) 290 g4 10100,"7,300.00",https://frankotrading.com/wp-content/uploads/2023/03/10100-5-300x300.jpg,https://frankotrading.com/product/hp-desktop-i3-4-1tb-290-g4-10100/
Hp desktop cel (4/1tb) 290 g4 pentg6400,"6,700.00",https://frankotrading.com/wp-content/uploads/2023/03/290-G4-3-300x300.jpg,https://frankotrading.com/product/hp-desktop-cel-4-1tb-290-g4-pentg6400/
Lenovo i3 ideapad 3 (4/1tb) 15iml06 81wb 10th,"4,100.00",https://frankotrading.com/wp-content/uploads/2023/03/81wb-1-300x300.jpg,https://frankotrading.com/product/lenovo-i3-ideapad-3-4-1tb-15iml06-81wb-10th/
Lenovo i3 ideapad 3 (4/1tb) 14itl05,"5,000.00",https://frankotrading.com/wp-content/uploads/2023/03/14it-1-300x300.jpg,https://frankotrading.com/product/lenovo-i3-ideapad-3-4-1tb-14itl05/
Lenovo cel (4/128ssd+256ssd) n5030 14″,"3,600.00",https://frankotrading.com/wp-content/uploads/2023/02/n5030-300x300.jpg,https://frankotrading.com/product/lenovo-cel-4-128ss256ssd-n5030-14/
Lenovo cel (4/1tb) 82c3 n4020 15″,"3,100.00",https://frankotrading.com/wp-content/uploads/2023/02/82C3-1-300x300.jpg,https://frankotrading.com/product/lenovo-cel-4-1tb-82c3-n4020-15/
Hp i7 pavilion (8/512ssd)15-eg2011nia nvedia 15″ 12th Gen,"12,400.00",https://frankotrading.com/wp-content/uploads/2023/02/2011-1-300x300.jpg,https://frankotrading.com/product/hp-i7-pavilion-8-512ssd15-eg2011nia-nvedia-15-12th-gen/
Hp i5 envy (16/512ssd) 13-ba1093cl 11th Gen Touchscreen,"10,900.00",https://frankotrading.com/wp-content/uploads/2023/01/1093-1-300x300.jpg,https://frankotrading.com/product/hp-i5-envy-16-512ssd-13-ba1093cl-touch-11th-gen-touchscreen/
Hp i5 envy (8/256ssd) 15m-es1013dx,"9,400.00",https://frankotrading.com/wp-content/uploads/2022/12/es1013-300x300.jpg,https://frankotrading.com/product/hp-i5-envy-8-256ssd-15m-es1013dx-x360-11th-gen/
Hp i5 (8/512ssd) 15s-fq5013nia 12th Gen,"8,300.00",https://frankotrading.com/wp-content/uploads/2022/12/5013-1-300x300.jpg,https://frankotrading.com/product/hp-i5-8-512ssd-15s-fq5013nia-12th-gen/
HP pavilion i3 (256gb+8gb) x360 14-ek0013dx 12th gen,"9,000.00",https://frankotrading.com/wp-content/uploads/2022/12/ek0013-3-1-300x300.jpg,https://frankotrading.com/product/hp-pavilion-i3-x360-14-ek0013dx-12th-gen/
ACER 15 (16/512 SSD) 1135 G7 ( EXTENSA 14),"9,500.00",https://frankotrading.com/wp-content/uploads/2022/12/extensa-15-ex215-54-bk-01a-300x214.png,https://frankotrading.com/product/acer-15-16-512-ssd-1135-g7-extensa-14/
Hp i7 (8/512ssd) 15-fq5986tu 15.6″,"10,000.00",https://frankotrading.com/wp-content/uploads/2022/11/5986-1-300x300.jpg,https://frankotrading.com/product/hp-i7-8-512ssd-15-fq5986tu-15-6/
HP i3 (8/256ssd) 15-2091wn 11th Gen,"6,000.00",https://frankotrading.com/wp-content/uploads/2022/11/2091-1-300x300.jpg,https://frankotrading.com/product/hp-i3-8-256ssd-15-2089wn-11th-gen/
Hp i5 (8/512ssd) 15s-fq5015nia 12th Gen,"8,500.00",https://frankotrading.com/wp-content/uploads/2022/11/5015-4-300x300.jpg,https://frankotrading.com/product/hp-i5-8-512ssd-15s-fq5015nia-12th/
Hp i3 (8/256ssd) 15-dw3023nia 11th,"6,000.00",https://frankotrading.com/wp-content/uploads/2022/11/3023-1-300x300.jpg,https://frankotrading.com/product/hp-i3-8-256ssd-i5-dw3023nia-11th/
Acer i5 spin 3 (8/256ssd) g1 10th with bag,"7,300.00",https://frankotrading.com/wp-content/uploads/2022/11/spin-1-300x300.jpg,https://frankotrading.com/product/acer-i5-spin-3-8-256ssd-g1-10th/
Lenovo i7 thinkpad (16/512ssd) e14 11th,"15,000.00",https://frankotrading.com/wp-content/uploads/2022/09/E14-1-300x300.jpg,https://frankotrading.com/product/lenovo-i7-thinkpad-16-512ssd-e14-11th/
Hp i7 (8/1tb) 15-dw1006ny 15.6″,"9,500.00",https://frankotrading.com/wp-content/uploads/2022/09/1006-1-300x300.jpg,https://frankotrading.com/product/hp-i7-8-1tb-15-dw1006ny-15-6/
Hp i5 (8/512ssd) 15s-fq5886tu 12th,"8,000.00",https://frankotrading.com/wp-content/uploads/2022/09/5886-2-300x300.jpg,https://frankotrading.com/product/hp-i5-8-512ssd-15s-fq5886tu-12th/
Hp i7 (8/512ssd) 250 g8 11th 15.6″,"11,800.00",https://frankotrading.com/wp-content/uploads/2022/09/250-g8-1-300x300.jpg,https://frankotrading.com/product/hp-i7-8-512ssd-250-g8-11th-15-6/
HP i3 (8/256ssd) 15-dw3043nq 11th Gen,"6,900.00",https://frankotrading.com/wp-content/uploads/2022/09/3043-2-300x300.jpg,https://frankotrading.com/product/hp-i3-8-256ssd-15-dw3043nq-11th/
HP Cel (4/500gb) 15-dw1207nia 15.6”,"3,300.00",https://frankotrading.com/wp-content/uploads/2022/09/1207-3-1-300x300.jpg,https://frankotrading.com/product/hp-cel-4-500gb-15-dw1207nia-15-6/
Asus i3 notebook(8/256 ssd) x515j,"5,490.00",https://frankotrading.com/wp-content/uploads/2022/09/x515-2-300x300.jpg,https://frankotrading.com/product/asus-i3-notebook8-256-ssd-x515j/
Hp i7 (8/1tb)15-dw1149 nia,"8,100.00",https://frankotrading.com/wp-content/uploads/2022/08/hp-i7-2-300x300.jpg,https://frankotrading.com/product/hp-i7-8-1tb15-dw1149-nia/
Lenovo i3 flex 5 (4/128gb) 14itl05 11th,"5,800.00",https://frankotrading.com/wp-content/uploads/2022/08/ideapad-2-300x300.jpg,https://frankotrading.com/product/lenovo-i3-flex-5-4-128gb-14itl05-11th/
HP i5 Victus (8/512ssd) 15-fa0031dx Geforce 12th Gen Gaming machine,"12,500.00",https://frankotrading.com/wp-content/uploads/2022/08/victus-1-300x300.jpg,https://frankotrading.com/product/hp-i5-victus-8-512ssd-15-fa0031dx-geforce-12th-gen-gaming-machine/
Hp envy i7 (16/512ssd) 15-ew0023dx x360,"14,600.00",https://frankotrading.com/wp-content/uploads/2022/08/0023-3-1-300x234.jpg,https://frankotrading.com/product/hp-envy-i7-16-512ssd-i5-ew0023dx-x360/
HP i5 (8/512ssd) 15-dy2093dx 11th Gen,"8,300.00",https://frankotrading.com/wp-content/uploads/2022/07/2093-1-300x300.jpg,https://frankotrading.com/product/hp-i5-8-512ssd-15-dy2093dx-11th-gen/
Asus Cel (4/1tb) x543m 15″,"3,790.00",https://frankotrading.com/wp-content/uploads/2022/07/x543-4-300x300.jpg,https://frankotrading.com/product/asus-cel-4-1tb-x543m-15/
Hp i3 (4/1tb)15-dw1197nia 15″,"4,200.00",https://frankotrading.com/wp-content/uploads/2022/07/1197-2-300x300.jpg,https://frankotrading.com/product/hp-i3-4-1tb15-dw1197nia-15/
Apple macbook pro m1 (8/512ssd) myd92ll grey,"19,800.00",https://frankotrading.com/wp-content/uploads/2022/07/macbook-33-300x300.jpg,https://frankotrading.com/product/apple-macbook-pro-m1-8-512ssd-myd92ll-grey/
Apple Macbook Air M1 (8/256ssd) mgnd3ll gold,"15,300.00",https://frankotrading.com/wp-content/uploads/2022/07/macbuk-3-300x300.jpg,https://frankotrading.com/product/apple-macbook-air-m1-8-256ssd-mgnd3ll-gold-2/
